Animation File,Animation Description,Frame Range (@30fps)
,,
,,
,,
01_Jabs,T-Pose,0
,Left Straight [Head], 1 - 35
,Left Hook [Head],36 - 75
,Left Uppercut [Head],76 - 114
,Left Hook [Stomach],115 - 154
,Left Uppercut [Stomach],155 - 210
,,
02_Straights,T-Pose,0
,Right Straight [Head], 1 - 40
,Right Hook [Head],41 - 80
,Right Uppercut [Head],81 - 120
,Right Hook [Stomach],121 - 160
,Right Uppercut [Stomach],161 - 215
,,
03_Elbows,T-Pose,0
,Left Hook Elbow [Head],Frame 1 - 50
,Left Reverse Elbow [Head],51 - 100
,Right Hook Elbow [Head],101 - 155
,Right Reverse Elbow [Head],156 - 240
,,
04_Knees,T-Pose,0
,Right Round Knee [Ribs/Stomach],Frame 1 - 65
,Right Uppercut Knee [Ribs/Stomach],66 - 135
,,
05_Headbutt,T-Pose,0
,Headbutt [Head/Chest],Frame 1 - 60
,,
06_Kicks Left,T-Pose,0
,Low Round-Kick [Knee],Frame 1 - 55
,Mid Round-Kick [Stomach],56 - 100
,High Round-Kick [Head],101 - 150
,Mid Front-Kick [Stomach/Chest],151 - 210
,High Front-Kick [Head],211 - 260
,Mid Side-Kick [Stomach],261 - 310
,High Side-Kick [Head],311 - 370
,,
07_Kicks Right_01,T-Pose,0
,Low Round-Kick [Knee],Frame 1 - 50
,Mid Round-Kick [Stomach],51 - 105
,High Round-Kick [Head],106 - 155
,Spinning Round-Kick [Head],156 - 215
,,
08_Kicks Right_02,T-Pose,0
,Push-Kick [Chest],Frame 1 - 70
,Push-Kick [Head],71 - 140
,,
09_Kick RevSpinHead,T-Pose,0
,Right 360 Reverse Spin Hook-Kick [Head],Frame 1 - 70
,,
10_Kick RevPushHead,T-Pose,0
,Right 360 Reverse Spin Push-Kick [Head],Frame 1 - 70
,,
11_Kick RevPushChest,T-Pose,0
,Right 360 Reverse Spin Push-Kick [Chest],Frame 1 - 75
,,
12_Blocks,T-Pose,0
,Front High Center [Head],Frame 1 - 50
,Side High Right [Head],51 - 90
,Side High Left [Head],91 - 135
,Side Mid Right [Stomach/Chest],136 - 175
,Side Mid Left [Stomach/Chest],176 - 220
,Front Mid Center [Stomach/Chest],221 - 265
,Left Leg-Guard [Knee],266 - 310
,Right Leg-Guard [Knee],311 - 360
,,
13_Dodges,T-Pose,0
,Duck,Frame 1 - 50
,High Back [Head],51 - 90
,High Right [Head],91 - 125
,High Left [Head],126 - 175
,Mid Back [Stomach],176 - 215
,Side-Step Left ,220 - 295
,Side-Step Right,296 - 375
,Jump,376 - 430
,,
14_FightStances,T-Pose,0
,Fight Stance #1,Frame 1 - 140
,Fight Stance #2,141 - 280
,Fight Stance #3,281 - 405
,Fight Stance #4,406 - 570
,Fight Stance #5,571 - 705
,,
15_Taunts,T-Pose,0
,Taunt #1,Frame 1 - 50
,Taunt #2,51 - 110
,Taunt #3,111 - 170
,Taunt #4,171 - 240
,Taunt #5,241 - 300
,,
16_WeakImpacts_Head,T-Pose,0
,Impact Front-Up,Frame 1 - 45
,Impact Front-Back,46 - 80
,Impact Side-Right,81 - 125
,Impact Side-Left,126 - 175
,,
17_WeakImpacts,T-Pose,0
,Impact Mid-Back [Chest],Frame 1 - 40
,Impact Mid-Back [Stomach],45 - 80
,Impact Mid-Right [Stomach],81 - 120
,Impact Mid-Left [Stomach],121 - 155
,Impact Low-Right [Knee],156 - 190
,Impact Low-Left [Knee],191 - 230
,,
18_HeavyImpacts_Head,T-Pose,0
,Impact Front-Up,Frame 1 - 185
,Impact Front-Back,186 - 365
,Impact Side-Right,366 - 525
,Impact Side-Left,526 - 670
,,
19_HeavyImpacts_Chest,T-Pose,0
,Impact Mid-Back [Chest],Frame 1 - 185
,Impact Mid-Back [Stomach],186 - 380
,Impact Mid-Right [Stomach],381 - 550
,Impact Mid-Left [Stomach],551 - 750
,,
20_HeavyImpacts_Knees,T-Pose,0
,Impact Low-Right [Knee],Frame 1 - 235
,Impact Low-Left [Knee],236 - 440
,,
21_GetUps,T-Pose,0
,GetUp From Back,Frame 1 - 125
,GetUp From Stomach,126 - 235
,,
22_Turns,T-Pose,0
,Turn Left,Frame 1 - 56
,Turn Right,57 - 103
,,
23_SingleSteps,T-Pose,0
,Step Backward,Frame 1 - 25
,Step Forward,26 - 50
,Step Left,51 - 75
,Step Right,76 - 100
,,
24_Walks,T-Pose,0
,Walk Backward,Frame 1 - 76
,Walk Forward,77 - 152
,,
25_KOs_Front,T-Pose,0
,Head Upward,Frame 1 - 100
,Head Backward,101 - 200
,Head RightTwist,201 - 300
,Head LeftTwist,301 - 400
,Chest Backward,401 - 495
,Stomach Backward,500 - 600
,Stomach RightTwist,601 - 700
,Stomach LeftTwist ,701 - 799
,Knee Left,800 - 895
,Knee Right,900 - 999
,,
26_KOs_Behind,T-Pose,0
,Head Forward,Frame 1 - 100
,Head Right,101 - 199
,Head Left,200 - 299
,Chest Forward,300 - 399
,Stomach Forward,400 - 499
,Knee Left,500 - 599
,Knee Right,600 - 699
